Date,Income,Expense,time
20/07/2018,0.0,87.0,02:03:03
20/07/2018,0.0,1048.0,10:32:15
19/07/2018,0.0,40.0,21:22:04
18/07/2018,0.0,216.0,16:04:48
16/07/2018,0.0,84.0,04:08:00
16/07/2018,0.0,1190.0,12:41:15
16/07/2018,0.0,84.0,00:49:34
15/07/2018,0.0,30.0,13:00:53
15/07/2018,0.0,500.0,15:43:18
15/07/2018,0.0,48.0,04:50:42
14/07/2018,0.0,2000.0,10:03:12
13/07/2018,0.0,188.0,20:04:09
13/07/2018,0.0,1358.0,17:22:13
13/07/2018,0.0,5000.0,01:58:11
13/07/2018,0.0,5000.0,07:08:26
12/7/2018,0.0,35.0,04:29:18
11/7/2018,0.0,57.0,06:25:24
10/7/2018,180.0,0.0,08:31:26
9/7/2018,0.0,360.0,15:40:56
9/7/2018,0.0,20.0,12:26:39
9/7/2018,0.0,60.0,04:00:51
8/7/2018,0.0,185.0,23:00:55
8/7/2018,0.0,30.0,00:02:19
8/7/2018,0.0,153.0,23:54:30
8/7/2018,0.0,500.0,14:02:14
8/7/2018,0.0,130.0,06:19:16
8/7/2018,0.0,675.0,07:50:04
7/7/2018,0.0,10.0,13:48:32
7/7/2018,0.0,2.0,04:09:32
7/7/2018,0.0,196.0,01:58:06
7/7/2018,0.0,1000.0,05:38:00
6/7/2018,0.0,760.0,20:49:16
6/7/2018,0.0,100.0,16:48:49
5/7/2018,0.0,83.0,15:21:49
5/7/2018,0.0,7.0,16:25:50
5/7/2018,0.0,15.0,05:59:30
5/7/2018,0.0,20.0,10:38:09
4/7/2018,0.0,100.0,11:32:52
4/7/2018,0.0,50.0,04:23:17
4/7/2018,0.0,350.0,00:04:48
4/7/2018,0.0,1440.0,19:08:45
3/7/2018,0.0,500.0,19:20:21
3/7/2018,0.0,36.0,20:37:11
3/7/2018,0.0,154.0,11:29:40
3/7/2018,52.5,0.0,20:46:44
3/7/2018,0.0,2000.0,16:55:40
2/7/2018,0.0,1595.0,10:08:11
2/7/2018,0.0,50.0,18:37:06
2/7/2018,0.0,20.0,19:36:43
2/7/2018,0.0,626.0,01:39:57
2/7/2018,0.0,26.0,22:24:31
2/7/2018,0.0,40.0,16:05:31
1/7/2018,0.0,461.0,05:55:18
1/7/2018,0.0,1890.0,23:38:27
1/7/2018,0.0,15.0,08:04:41
1/7/2018,0.0,430.0,04:11:53
1/7/2018,0.0,98.0,18:44:55
1/7/2018,0.0,72.0,06:05:16
1/7/2018,0.0,12500.0,17:57:14
1/7/2018,0.0,10000.0,04:45:33
30/06/2018,0.0,1200.0,18:21:11
30/06/2018,43.0,0.0,23:29:26
30/06/2018,342.0,0.0,21:19:02
30/06/2018,65122.0,0.0,07:58:04
29/06/2018,44.0,0.0,14:34:55
29/06/2018,0.0,70.0,00:24:26
29/06/2018,0.0,50.0,12:05:13
29/06/2018,0.0,270.0,15:36:44
28/06/2018,0.0,455.0,12:40:15
28/06/2018,0.0,70.0,11:15:06
28/06/2018,0.0,228.0,19:26:53
28/06/2018,0.0,64.82,09:23:24
27/06/2018,0.0,308.85,12:43:56
27/06/2018,3000.0,0.0,05:20:56
27/06/2018,0.0,14.0,03:51:25
27/06/2018,0.0,100.0,16:56:00
27/06/2018,0.0,4720.0,07:47:50
27/06/2018,0.0,100.0,13:11:44
27/06/2018,0.0,450.0,16:57:17
27/06/2018,0.0,550.0,17:59:19
27/06/2018,0.0,25.0,17:38:29
27/06/2018,0.0,80.0,22:04:23
27/06/2018,0.0,30.0,23:24:36
27/06/2018,0.0,2549.59,17:17:54
26/06/2018,0.0,30.0,18:53:02
26/06/2018,0.0,1990.0,18:07:38
26/06/2018,0.0,13050.0,07:18:36
26/06/2018,0.0,70.0,00:17:23
26/06/2018,0.0,20.0,03:45:25
26/06/2018,0.0,20.0,02:02:46
